,time_between,service_time,arrival_time,start_time,end_time,wait_time,system_time,idle_time
0,0,2,0,0,2,0,2,0
1,1,3,1,2,5,1,4,0
2,3,3,4,5,8,1,4,0
3,4,2,8,8,10,0,2,0
4,2,1,10,10,11,0,1,0
5,6,3,16,16,19,0,3,5
6,3,3,19,19,22,0,3,0
7,4,1,23,23,24,0,1,1
8,6,1,29,29,30,0,1,5
9,2,2,31,31,33,0,2,1
10,3,3,34,34,37,0,3,1
11,4,1,38,38,39,0,1,1
12,2,3,40,40,43,0,3,1
13,1,2,41,43,45,2,4,0
14,3,3,44,45,48,1,4,0
15,2,1,46,48,49,2,3,0
16,5,1,51,51,52,0,1,2
17,6,3,57,57,60,0,3,5
18,6,3,63,63,66,0,3,3
19,5,1,68,68,69,0,1,2
20,6,1,74,74,75,0,1,5
21,1,1,75,75,76,0,1,0
22,5,1,80,80,81,0,1,4
23,2,2,82,82,84,0,2,1
24,5,3,87,87,90,0,3,3
25,1,3,88,90,93,2,5,0
26,3,3,91,93,96,2,5,0
27,6,3,97,97,100,0,3,1
28,4,1,101,101,102,0,1,1
29,2,1,103,103,104,0,1,1
30,3,1,106,106,107,0,1,2
31,6,3,112,112,115,0,3,5
32,5,1,117,117,118,0,1,2
33,2,3,119,119,122,0,3,1
34,6,3,125,125,128,0,3,3
35,2,1,127,128,129,1,2,0
36,2,2,129,129,131,0,2,0
37,3,2,132,132,134,0,2,1
38,1,2,133,134,136,1,3,0
39,2,2,135,136,138,1,3,0
40,3,2,138,138,140,0,2,0
41,1,1,139,140,141,1,2,0
42,1,3,140,141,144,1,4,0
43,2,1,142,144,145,2,3,0
44,1,2,143,145,147,2,4,0
45,6,1,149,149,150,0,1,2
46,6,3,155,155,158,0,3,5
47,3,3,158,158,161,0,3,0
48,5,3,163,163,166,0,3,2
49,3,3,166,166,169,0,3,0
50,1,3,167,169,172,2,5,0
51,3,3,170,172,175,2,5,0
52,5,2,175,175,177,0,2,0
53,6,3,181,181,184,0,3,4
54,4,3,185,185,188,0,3,1
55,2,3,187,188,191,1,4,0
56,5,2,192,192,194,0,2,1
57,4,1,196,196,197,0,1,2
58,1,1,197,197,198,0,1,0
59,2,3,199,199,202,0,3,1
60,3,3,202,202,205,0,3,0
61,4,1,206,206,207,0,1,1
62,3,1,209,209,210,0,1,2
63,2,3,211,211,214,0,3,1
64,5,2,216,216,218,0,2,2
65,6,3,222,222,225,0,3,4
66,5,2,227,227,229,0,2,2
67,3,1,230,230,231,0,1,1
68,5,2,235,235,237,0,2,4
69,1,2,236,237,239,1,3,0
70,2,2,238,239,241,1,3,0
71,5,2,243,243,245,0,2,2
72,6,3,249,249,252,0,3,4
73,6,3,255,255,258,0,3,3
74,2,1,257,258,259,1,2,0
75,6,3,263,263,266,0,3,4
76,3,1,266,266,267,0,1,0
77,4,3,270,270,273,0,3,3
78,5,2,275,275,277,0,2,2
79,1,1,276,277,278,1,2,0
80,1,2,277,278,280,1,3,0
81,5,2,282,282,284,0,2,2
82,4,3,286,286,289,0,3,2
83,2,1,288,289,290,1,2,0
84,2,2,290,290,292,0,2,0
85,3,2,293,293,295,0,2,1
86,1,3,294,295,298,1,4,0
87,4,3,298,298,301,0,3,0
88,4,2,302,302,304,0,2,1
89,5,1,307,307,308,0,1,3
90,4,3,311,311,314,0,3,3
91,2,2,313,314,316,1,3,0
92,1,2,314,316,318,2,4,0
93,4,1,318,318,319,0,1,0
94,1,1,319,319,320,0,1,0
95,4,1,323,323,324,0,1,3
96,3,1,326,326,327,0,1,2
97,2,2,328,328,330,0,2,1
98,5,1,333,333,334,0,1,3
99,3,3,336,336,339,0,3,2
100,6,3,342,342,345,0,3,3
101,4,1,346,346,347,0,1,1
102,5,1,351,351,352,0,1,4
103,3,2,354,354,356,0,2,2
104,2,2,356,356,358,0,2,0
105,1,1,357,358,359,1,2,0
106,2,1,359,359,360,0,1,0
107,2,1,361,361,362,0,1,1
108,2,3,363,363,366,0,3,1
109,4,3,367,367,370,0,3,1
110,2,3,369,370,373,1,4,0
111,1,1,370,373,374,3,4,0
112,6,3,376,376,379,0,3,2
113,2,1,378,379,380,1,2,0
114,1,3,379,380,383,1,4,0
115,5,2,384,384,386,0,2,1
116,6,2,390,390,392,0,2,4
117,2,1,392,392,393,0,1,0
118,5,1,397,397,398,0,1,4
119,3,3,400,400,403,0,3,2
120,6,3,406,406,409,0,3,3
121,5,2,411,411,413,0,2,2
122,3,1,414,414,415,0,1,1
123,3,3,417,417,420,0,3,2
124,6,3,423,423,426,0,3,3
125,6,2,429,429,431,0,2,3
126,4,1,433,433,434,0,1,2
127,3,1,436,436,437,0,1,2
128,5,2,441,441,443,0,2,4
129,2,3,443,443,446,0,3,0
130,4,1,447,447,448,0,1,1
131,4,2,451,451,453,0,2,3
132,6,2,457,457,459,0,2,4
133,1,3,458,459,462,1,4,0
134,3,1,461,462,463,1,2,0
135,5,1,466,466,467,0,1,3
